UC;UC01;;;
1090059;--- ;NF ;  ;  
1090060;--- ;NF ;  ;  
1090061;--- ;6;0;SM 
1090062;--- ;NF ;  ;  
1090064;--- ;8;6;SM 
1090065;--- ;8;  ;SM 
1090066;--- ;NF ;  ;  
1090067;--- ;15;13;14
1090068;--- ;NF ;  ;  
1090069;--- ;14;9;11
1090070;--- ;8;11;10
1090071;--- ;13;6;SM 
1090072;--- ;2;0;SM 
1090073;--- ;14;9;11
1090074;--- ;NF ;  ;  
1090077;--- ;NF ;  ;  
1090078;--- ;NC ;0;SM 
1090079;--- ;8;5;SM 
1090080;--- ;10;11;11
1090081;--- ;NF ;  ;  
1090082;--- ;12;10;11
1090083;--- ;8;6;SM 
1090085;--- ;10;12;11
1090086;--- ;9;7;SM 
1090087;--- ;7;  ;SM 
1090088;--- ;8;8;8
1090089;--- ;9;7;SM 
1090090;--- ;8;6;SM 
1090091;--- ;NF ;  ;  
1090092;--- ;10;10;10
1090093;--- ;17;12;14
1090094;--- ;13;11;12
1090095;--- ;12;9;10
1090096;--- ;9;10;10
1090097;--- ;NF ;  ;  
1090098;--- ;9;3;SM 
1090099;--- ;14;8;10
1090102;--- ;7;  ;SM 
1090103;--- ;NF ;  ;  
1090104;--- ;11;10;10
1090105;--- ;9;11;10
1090106;--- ;NF ;  ;  
1090107;--- ;8;9;9
1090108;--- ;NF ;  ;  
1090110;--- ;8;11;10
1090111;--- ;NF ;  ;  
1090112;--- ;8;5;SM 
1090113;--- ;11;9;10
1090114;--- ;14;10;12
1090115;--- ;2;  ;SM 
1090117;--- ;14;12;13
1090118;--- ;15;11;13
1090119;--- ;12;14;13
1090120;--- ;10;10;10
1090121;--- ;2;  ;SM 
1090122;--- ;10;10;10
1090123;--- ;NF ;  ;  
1090124;--- ;6;  ;SM 
1090125;--- ;9;10;10
1090126;--- ;14;8;10
1090127;--- ;6;  ;SM 
1090128;--- ;10;11;11
1090129;--- ;9;9;9
1090130;--- ;11;12;12
1090131;--- ;9;10;10
1090132;--- ;11;9;10
1090133;--- ;7;  ;SM 
1090134;--- ;1;  ;SM 
1090135;--- ;11;9;10
1090136;--- ;7;2;SM 
1090137;--- ;2;  ;SM 
1090138;--- ;8;4;SM 
1090139;--- ;10;11;11
1090140;--- ;NF ;  ;  
1090141;--- ;11;10;10
1090142;--- ;2;  ;SM 
1090143;--- ;9;10;10
1090144;--- ;15;8;11
1090145;--- ;16;11;13
1090146;--- ;NF ;  ;  
1090147;--- ;NF ;  ;  
1090148;--- ;NF ;  ;  
1090149;--- ;NF ;  ;  
1090150;--- ;9;6;SM 
1090151;--- ;12;9;10
1090152;--- ;NF ;  ;  
1090153;--- ;7;  ;SM 
1090154;--- ;NF ;  ;  
1090155;--- ;12;11;11
1090156;--- ;12;11;11
1090157;--- ;10;11;11
1090158;--- ;6;  ;SM 
1090159;--- ;12;9;10
1090160;--- ;NF ;  ;  
1090161;--- ;2;  ;SM 
1090162;--- ;9;9;9
1090163;--- ;8;8;8
1090164;--- ;9;8;8
1090166;--- ;NF ;  ;  
1090167;--- ;NF ;  ;  
1090168;--- ;2;  ;SM 
1090169;--- ;NF ;  ;  
1090170;--- ;8;7;SM 
1090171;--- ;NF ;  ;  
1090172;--- ;8;7;SM 
1090174;--- ;11;6;SM 
1090175;--- ;12;9;10
1090176;--- ;14;13;13
1090177;--- ;8;0;SM 
1090178;--- ;9;12;11
1090179;--- ;12;8;10
1090180;--- ;9;8;8
1090181;--- ;13;8;10
1090183;--- ;NF ;  ;  
1090184;--- ;10;10;10
1090185;--- ;NF ;  ;  
1090186;--- ;2;  ;SM 
1090187;--- ;2;2;SM 
1090188;--- ;NF ;  ;  
1090189;--- ;8;9;9
1090190;--- ;12;8;10
1090191;--- ;9;8;8
1090192;--- ;11;5;SM 
1090193;--- ;0;0;SM 
1090194;--- ;9;11;10
1090195;--- ;8;9;9
1090196;--- ;11;7;SM 
1090197;--- ;9;10;10
1090198;--- ;11;7;SM 
1090199;--- ;14;5;SM 
1090200;--- ;NF ;  ;  
1090201;--- ;8;11;10
1090202;--- ;2;  ;SM 
1090203;--- ;9;5;SM 
1090204;--- ;NF ;  ;  
1090205;--- ;NF ;  ;  
1090206;--- ;17;12;14
1090207;--- ;11;7;SM 
1090208;--- ;10;14;12
1090209;--- ;NF ;  ;  
1090210;--- ;14;9;11
1090211;--- ;NC ;FT ;NC 
1090212;--- ;NF ;  ;  
1090213;--- ;14;3;SM 
1090215;--- ;NF ;  ;  
1090216;--- ;14;11;12
1090218;--- ;9;6;SM 
1090219;--- ;NF ;  ;  
1090220;--- ;NF ;  ;  
1090221;--- ;10;4;SM 
1090223;--- ;9;8;8
1090224;--- ;11;6;SM 
1090226;--- ;15;11;13
1090227;--- ;12;7;SM 
1090228;--- ;NF ;  ;  
1090229;--- ;7;1;SM 
1090230;--- ;NF ;  ;  
1090231;--- ;13;9;11
1090234;--- ;NF ;  ;  
1090235;--- ;NF ;  ;  
1090236;--- ;13;8;10
1090237;--- ;NF ;  ;  
1090238;--- ;2;  ;SM 
1090239;--- ;15;7;SM 
1090240;--- ;12;12;12
1090241;--- ;NC ;  ;SM 
1090242;--- ;8;11;10
1090244;--- ;9;5;SM 
1090245;--- ;13;9;11
1090246;--- ;14;10;12
1090247;--- ;12;12;12
1090248;--- ;8;5;SM 
1090249;--- ;13;11;12
1090250;--- ;8;9;9
1090251;--- ;NF ;  ;  
1090252;--- ;16;7;SM 
1090253;--- ;7;  ;SM 
1090254;--- ;15;5;SM 
1090255;--- ;10;12;11
1090256;--- ;13;8;10
1090257;--- ;2;  ;SM 
1090258;--- ;15;10;12
1090259;--- ;8;5;SM 
1090260;--- ;8;8;8
1090261;--- ;8;7;SM 
1090262;--- ;8;9;9
1090263;--- ;NF ;  ;  
1090264;--- ;10;0;SM 
1090265;--- ;6;0;SM 
1090266;--- ;10;10;10
1090267;--- ;10;7;SM 
1090268;--- ;9;7;SM 
