UC;UC04;;
1090130;15.6 ;16.7 ;16
1090131;2.6 ;FT ;1
1090132;12;15.8 ;14
1090133;15.2 ;20;18
1090134;8.8 ;FT ;4
1090135;11.2 ;17.3 ;14
1090136;3.6 ;FT ;2
1090137;3;FT ;2
1090138;7.4 ;11.3 ;10
1090139;10.8 ;15.7 ;13
1090140;NF ;  ;  
1090142;7;13.1 ;10
1090143;14.4 ;12.5 ;14
1090144;NC ;11;11
1090145;9.6 ;FT ;5
1090146;0;FT ;NC 
1090147;0;FT ;NC 
1090148;NF ;  ;  
1090149;0;FT ;NC 
1090150;8.2 ;10.6 ;10
1090151;9.2 ;18.7 ;14
1090152;0;FT ;NC 
1090153;2.8 ;12;7
1090154;NF ;  ;  
1090155;12.4 ;19.7 ;16
1090156;12.4 ;19.3 ;16
1090157;17.2 ;18.2 ;18
1090158;0;FT ;NC 
1090159;11.4 ;13.1 ;12
1090160;0.8 ;6.9 ;4
1090161;6.2 ;5.3 ;6
1090162;9.4 ;13;11
1090163;11.2 ;10.7 ;11
1090164;8.6 ;13.1 ;11
1090165;0;FT ;NC 
1090166;0;FT ;NC 
1090167;0;FT ;NC 
1090168;2.4 ;0;1
1090169;0;FT ;NC 
1090170;10.6 ;16.3 ;14
1090172;8.4 ;10.5 ;10
1090174;8.4 ;13.1 ;11
1090175;6.6 ;19.1 ;13
1090176;14.4 ;17.5 ;16
1090178;18.2 ;19.3 ;19
1090179;13.6 ;15.8 ;15
1090180;10.4 ;10.5 ;11
1090181;16;17.4 ;17
1090183;0;FT ;NC 
1090184;10.6 ;16.6 ;14
1090185;0;FT ;NC 
1090186;7.4 ;17.1 ;12
1090187;8;17.9 ;13
1090189;14.4 ;19.9 ;17
1090190;9.2 ;FT ;5
1090191;8;12.2 ;10
1090192;17.2 ;13.4 ;15
1090193;7.8 ;FT ;4
1090194;14;16.2 ;15
1090195;11.4 ;10.2 ;11
1090197;12.4 ;6.7 ;10
1090198;17.4 ;11.8 ;15
1090199;11.2 ;15.1 ;13
1090200;3.2 ;FT ;2
1090201;17.6 ;11.7 ;15
1090202;9.4 ;12.9 ;11
1090203;6.6 ;FT ;3
1090204;NF ;  ;  
1090205;5;FT ;3
1090206;19;FT ;10
1090207;10.6 ;10.2 ;11
1090209;NF ;  ;  
1090210;10.6 ;14.3 ;13
1090211;0;FT ;NC 
1090212;0;FT ;NC 
1090213;12.4 ;14.5 ;14
1090214;0;FT ;NC 
1090215;NF ;  ;  
1090216;20;19.4 ;20
1090217;5.4 ;FT ;3
1090218;0;0;0
1090219;9;14.5 ;12
1090220;NF ;  ;  
1090221;11.8 ;10.4 ;11
1090223;9.2 ;12.3 ;11
1090225;0;FT ;NC 
1090226;11.6 ;14.7 ;13
1090227;1.6 ;FT ;1
1090228;0;FT ;NC 
1090229;5.8 ;12.9 ;10
1090230;NC ;13;13
1090231;19;14.7 ;17
1090232;12.4 ;6.6 ;10
1090235;0;FT ;NC 
1090236;13.2 ;11.1 ;12
1090238;0;FT ;NC 
1090239;14.2 ;8.7 ;12
1090240;17.8 ;11.8 ;14
1090241;1.4 ;FT ;1
1090242;9.4 ;13.5 ;12
1090244;15.2 ;14.8 ;15
1090245;14;10.3 ;12
1090246;17.2 ;14.7 ;16
1090247;17.8 ;20;19
1090248;2.4 ;FT ;1
1090249;9.6 ;10;10
1090250;13.2 ;8.6 ;11
1090251;0;FT ;NC 
1090252;6.8 ;FT ;3
1090253;8.8 ;10.8 ;10
1090254;0;FT ;NC 
1090255;13.8 ;20;17
1090256;10.4 ;9.9 ;10
1090257;9;11.2 ;10
1090258;5.8 ;12.9 ;10
1090259;3.6 ;FT ;2
1090260;18.6 ;FT ;10
1090261;10.6 ;11.3 ;11
1090262;6;13.4 ;10
1090263;0;FT ;NC 
1090264;12.8 ;15.8 ;14
1090265;13.2 ;16.9 ;15
1090266;4;15.1 ;10
1090267;14.4 ;11.7 ;13
1090268;9.8 ;17.5 ;14
