UC;UC02;;;
Ano;2009-2010;;;
Epoca;NM;;;
Data;30/1/2010;;;
;;;;
Numero;Freq. Ant. ;Freq. ;Exame ;Resultado 
1090168;--- ;9.6 ;15;11
1090169;--- ;NC ;  ;NC 
1090170;--- ;14.7 ;15;15
1090171;--- ;NF ;  ;  
1090172;--- ;7.38 ;9;8
1090173;--- ;NF ;  ;  
1090174;--- ;15.74 ;12;15
1090175;--- ;15.9 ;15;16
1090176;--- ;16.4 ;14;16
1090177;--- ;8.52 ;14;10
1090178;--- ;16;15;16
1090179;--- ;10.23 ;13;11
1090180;--- ;13.14 ;14;13
1090181;--- ;13.64 ;12;13
1090183;--- ;NF ;  ;  
1090184;--- ;7.5 ;15;10
1090185;--- ;NC ;  ;NC 
1090186;--- ;14.81 ;14;15
1090187;--- ;11.64 ;14;12
1090188;--- ;8.52 ;13;10
1090189;--- ;11.93 ;13;12
1090190;--- ;6.03 ;11;SM 
1090191;--- ;9.72 ;15;11
1090192;--- ;14.17 ;14;14
1090193;--- ;NC ;FT ;NC 
1090194;--- ;9.02 ;14;10
1090195;--- ;7.38 ;8;8
1090196;--- ;14.58 ;11;14
1090197;--- ;14.7 ;16;15
1090198;--- ;14.17 ;15;14
1090199;--- ;14.37 ;12;14
1090200;--- ;6.71 ;9;7
1090201;--- ;13.83 ;15;14
1090202;--- ;10.24 ;13;11
1090203;--- ;NC ;FT ;NC 
1090204;--- ;NF ;  ;  
1090205;--- ;NC ;  ;NC 
1090207;--- ;14.17 ;13;14
1090209;--- ;NF ;  ;  
1090210;--- ;9.45 ;14;11
1090211;--- ;NF ;  ;  
1090212;--- ;NF ;  ;  
1090213;--- ;9.45 ;13;10
1090214;--- ;NF ;  ;  
1090215;--- ;NF ;  ;  
1090216;--- ;9.45 ;17;11
1090218;--- ;12.52 ;13;13
1090219;--- ;9.72 ;14;11
1090220;--- ;NF ;  ;  
1090221;--- ;17.36 ;14;17
1090223;--- ;13.61 ;16;14
1090225;--- ;NC ;  ;NC 
1090226;--- ;15.44 ;13;15
1090227;--- ;14.25 ;FT ;NC 
1090228;--- ;NC ;  ;NC 
1090229;--- ;12.1 ;13;12
1090230;--- ;NC ;  ;NC 
1090231;--- ;18.31 ;15;17
1090232;--- ;10.93 ;16;12
1090234;--- ;NF ;  ;  
1090235;--- ;15.09 ;13;15
1090236;--- ;16.91 ;15;16
1090237;--- ;NC ;  ;NC 
1090238;--- ;9.16 ;11;10
1090239;--- ;11.03 ;15;12
1090241;--- ;5.06 ;10;SM 
1090242;--- ;8.16 ;12;9
1090244;--- ;13.57 ;14;14
1090245;--- ;15.8 ;15;16
1090247;--- ;16.12 ;16;16
1090248;--- ;10.29 ;12;11
1090249;--- ;13.64 ;13;13
1090250;--- ;11.03 ;15;12
1090251;--- ;9.45 ;17;11
1090252;--- ;16.12 ;17;16
1090253;--- ;11.4 ;13;12
1090254;--- ;14.13 ;15;14
1090255;--- ;17.36 ;15;17
1090256;--- ;15.1 ;13;15
1090257;--- ;8.5 ;12;10
1090258;--- ;13.83 ;16;14
1090259;--- ;8.16 ;  ;NC 
1090260;--- ;13.58 ;15;14
1090261;--- ;9.1 ;13;10
1090262;--- ;9.02 ;15;11
1090263;--- ;5.64 ;FT ;NC 
1090264;--- ;10.49 ;13;11
1090265;--- ;13.6 ;14;14
1090266;--- ;10.05 ;  ;NC 
1090267;--- ;9.34 ;14;11
1090268;--- ;10.74 ;12;11
