Numero;Ano
1090086;1
1090092;1
1090096;1
1090101;1
1090104;1
1090107;1
1090112;1
1090113;1
1090117;1
1090120;1
1090123;1
1090125;1
1090128;1
1090137;1
1090141;1
1090146;1
1090149;1
1090165;2
1090166;2
1090173;2
1090174;1
1090177;2
1090188;2
1090211;1
1090214;1
1090225;1
1090228;1
1090232;1
1090237;2
1090124;1
1090127;1
1090131;1
1090134;1
1090138;1
1090022;1
1090054;1
1090058;1
1090063;1
1090004;1
1090007;1
1010001;1
1010002;3
1010003;2
1010004;3
1010005;3
1010006;3
1010010;1
1010008;2
1010011;2
1010017;3
1010012;2
1010019;1
1010016;1
1010018;3
1010013;3
1010020;3
1010014;3
1010023;2
1010025;1
1010026;3
1010021;3
1010024;2
1010027;1
1010028;2
1010029;3
1010032;3
1010034;2
1010040;2
1010041;1
1010039;2
1010035;1
1010036;1
1010037;2
1010038;2
1010050;3
1010042;3
1010044;3
1010045;1
1010047;3
1010043;3
1010046;3
1010049;3
1010048;2
1010051;3
1010052;3
1010055;3
1010057;3
1010054;2
1010056;2
1010058;3
1010062;1
1010061;2
1010063;3
1010069;3
1010072;3
1010074;3
1010077;3
1010078;3
1010080;1
1010081;3
1010082;2
1010083;3
1010068;2
1010073;3
1010076;1
1010059;1
1010065;1
1010079;2
1010064;3
1010066;1
1010075;3
1010090;1
1010087;3
1010091;3
1010093;3
1010096;2
1010098;3
1010100;2
1010084;3
1010085;2
1010086;3
1010092;2
1010094;2
1010088;2
1010097;3
1010101;3
1010102;2
1010103;2
1010104;2
1010105;2
1010106;1
1010108;1
1010109;1
1010110;1
1010111;2
